Id	Polaridad	Happiness	Anger	Fear	Repulsion	Surprise	Sadness	interest
355	0	0	0	0	0	0	0	Unidentified
356	0	0	0	0	0	0	0	Unidentified
357	0	0	0	0	0	0	0	Unidentified
358	0	0	0	0	0	0	0	Unidentified
359	0	0	0	0	0	0	0	Unidentified
360	0	0	0	0	0	0	0	Unidentified
361	0	0,7	0	0	0	0	0	Unidentified
362	0	0	0	0	0	0	0	Unidentified
363	0	0	0	0	0	0	0	Unidentified
364	0	0	0	0	0	0	0	Unidentified
365	0	0	0	0	0	0	0	Unidentified
366	0	0	0	0	0	0	0	Unidentified
367	0	0,35	0	0	0	0	0	Unidentified
368	0	0,7	0	0	0	0	0	Unidentified
369	0	0	0	0	0	0	0	Unidentified
370	0	0	0	0	0	0	0	Unidentified
371	0	0	0	0	0	0	0	Unidentified
372	0	0	0	0	0	0	0	Unidentified
373	0	0	0	0	0	0	0	Unidentified
374	0	0,35	0	0	0	0	0	Unidentified
375	0	0,7	0	0	0	0	0	Unidentified
376	0	0	0	0	0	0	0	Unidentified
377	0	0	0	0	0	0	0	Unidentified
378	0	0	0	0	0	0	0	Unidentified
379	0	0	0	0	0	0	0	Unidentified
380	0	0	0	0	0	0	0	Unidentified
381	0	0,25	0	0	0	0	0	Unidentified
382	0	0,25	0	0	0	0	0	Unidentified
383	0	0	0	0	0	0	0	Unidentified
384	0	0	0	0	0	0	0	Unidentified
385	0	0	0	0	0	0	0	Unidentified
386	0	0	0	0	0	0	0	Unidentified
387	0	0	0	0	0	0	0	Unidentified
388	0	0	0	0	0	0	0	Unidentified
389	0	0,25	0	0	0	0	0	Unidentified
390	0	0	0	0	0	0	0	Unidentified
391	0	0	0	0	0	0	0	Unidentified
392	0	0	0	0	0	0	0	Unidentified
393	0	0	0	0	0	0	0	Unidentified
394	0	0	0	0	0	0	0	Unidentified
395	0	0	0	0	0	0	0	Unidentified
396	0	0,25	0	0	0	0	0	Unidentified
397	0	0	0	0	0	0	0	Unidentified
398	0	0	0	0	0	0	0	Unidentified
399	0	0	0	0	0	0	0	Unidentified
400	0	0	0	0	0	0	0	Unidentified
401	0	0	0	0	0	0	0	Unidentified
402	0	0	0	0	0	0	0	Unidentified
403	0	0,5	0	0	0	0	0	Unidentified
404	0	0	0	0	0	0	0	Unidentified
405	0	0	0	0	0	0	0	Unidentified
406	0	0	0	0	0	0	0	Unidentified
407	0	0	0	0	0	0	0	Unidentified
408	0	0	0	0	0	0	0	Unidentified
409	0	0,25	0	0	0	0	0	Unidentified
410	0	0,5	0	0	0	0	0	Unidentified
411	0	0	0	0	0	0	0	Unidentified
412	0	0	0	0	0	0	0	Unidentified
413	0	0	0	0	0	0	0	Unidentified
414	0	0	0	0	0	0	0	Unidentified
415	0	0	0	0	0	0	0	Unidentified
416	0	0,25	0	0	0	0	0	Unidentified
417	0	0,5	0	0	0	0	0	Unidentified
418	0	0	0	0	0	0	0	Unidentified
419	0	0	0	0	0	0	0	Unidentified
420	0	0	0	0	0	0	0	Unidentified
421	0	0	0	0	0	0	0	Unidentified
422	0	0	0	0	0	0	0	Unidentified
423	0	0,25	0	0	0	0	0	Unidentified
424	0	0,25	0	0	0	0	0	Unidentified
425	0	0	0	0	0	0	0	Unidentified
426	0	0	0	0	0	0	0	Unidentified
427	0	0	0	0	0	0	0	Unidentified
428	0	0	0	0	0	0	0	Unidentified
429	0	0	0	0	0	0	0	Unidentified
430	0	0	0	0	0	0	0	Unidentified
431	0	0,25	0	0	0	0	0	Unidentified
432	0	0	0	0	0	0	0	Unidentified
433	0,3	0	0	0	0	0	0	Unidentified
434	0	0	0	0	0	0	0	Unidentified
435	0	0	0	0	0	0	0	Entertainment
436	0	0	0	0	0	0	0	Unidentified
437	0	0	0	0	0	0	0	Unidentified
438	0	0,4	0	0	0	0	0	Unidentified
439	0,3	0	0	0	0	0	0	Unidentified
440	0,3	0	0	0	0	0	0	Unidentified
441	0	0	0	0	0	0	0	Unidentified
442	0	0	0	0	0	0	0	Entertainment
443	0	0	0	0	0	0	0	Unidentified
444	0	0	0	0	0	0	0	Unidentified
445	0	0,8	0	0	0	0	0	Unidentified
446	0	0,2	0	0	0	0	0	Unidentified
447	0	0	0	0	0	0	0	Unidentified
448	0	0	0	0	0	0	0	Unidentified
449	0	0	0	0	0	0	0	Unidentified
450	0	0	0	0	0	0	0	Unidentified
451	0	0,4	0	0	0	0	0	Unidentified
452	0	0,8	0	0	0	0	0	Unidentified
453	0	0,2	0	0	0	0	0	Unidentified
454	0	0	0	0	0	0	0	Unidentified
455	0	0	0	0	0	0	0	Unidentified
456	0	0	0	0	0	0	0	Unidentified
457	0	0	0	0	0	0	0	Unidentified
458	0	0,4	0	0	0	0	0	Unidentified
459	0	0,8	0	0	0	0	0	Unidentified
460	0	0	0	0	0	0	0	Unidentified
461	0	0	0	0	0	0	0	Unidentified
462	0	0	0	0	0	0	0	Unidentified
463	0	0	0	0	0	0	0	Unidentified
464	0	0	0	0	0	0	0	Unidentified
465	0	0,4	0	0	0	0	0	Unidentified
466	0	0,4	0	0	0	0	0	Unidentified
467	0	0	0	0	0	0	0	Unidentified
468	0	0	0	0	0	0	0	Unidentified
469	0	0	0	0	0	0	0	Unidentified
470	0	0	0	0	0	0	0	Unidentified
471	0	0	0	0	0	0	0	Unidentified
472	0	0	0	0	0	0	0	Unidentified
473	0	0,4	0	0	0	0	0	Unidentified
474	0	0	0	0	0	0	0	Unidentified
475	0	0	0	0	0	0	0	Unidentified
476	0	0	0	0	0	0	0	Unidentified
477	0	0	0	0	0	0	0	Unidentified
478	0	0	0	0	0	0	0	Unidentified
479	0	0	0	0	0	0	0	Unidentified
480	0	0,4	0	0	0	0	0	Unidentified
481	0	0,2	0	0	0	0	0	Unidentified
482	0	0	0	0	0	0	0	Unidentified
483	0	0	0	0	0	0	0	Unidentified
484	0	0	0	0	0	0	0	Unidentified
485	0	0	0	0	0	0	0	Unidentified
486	0	0	0	0	0	0	0	Unidentified
487	0	0,8	0	0	0	0	0	Unidentified
488	0	0,2	0	0	0	0	0	Unidentified
489	0	0	0	0	0	0	0	Unidentified
490	0	0	0	0	0	0	0	Unidentified
491	0	0	0	0	0	0	0	Unidentified
492	0	0	0	0	0	0	0	Unidentified
493	0	0,4	0	0	0	0	0	Unidentified
494	0	0,8	0	0	0	0	0	Unidentified
495	0	0,2	0	0	0	0	0	Unidentified
496	0	0	0	0	0	0	0	Unidentified
497	0	0	0	0	0	0	0	Unidentified
498	0	0	0	0	0	0	0	Unidentified
499	0	0	0	0	0	0	0	Family
500	0,5	0,4	0	0	0	0	0	Family
501	0,5	0,8	0	0	0	0	0	Unidentified
502	0	0	0	0	0	0	0	Unidentified
503	0	0	0	0	0	0	0	Unidentified
504	0	0	0	0	0	0	0	Family
505	0	0	0	0	0	0	0	Family
506	0	0	0	0	0	0	0	Family
507	0,5	0,4	0	0	0	0	0	Family
508	0,5	0,4	0	0	0	0	0	Family
509	0,6	0,25	0	0	0	0	0	Family
510	0	0	0	0	0	0	0	Family
511	0	0	0	0	0	0	0	Family
512	0	0	0	0	0	0	0	Family
513	0	0	0	0	0	0	0	Family
514	0	0	0	0	0	0	0	Family
515	0,5	0,35	0	0	0	0	0	Family
516	0,4	0,15	0	0	0	0	0	Family
517	0,3	0,15	0	0	0	0	0	Family
518	0	0	0	0	0	0	0	Family
519	0	0	0	0	0	0	0	Family
520	0	0	0	0	0	0	0	Family
521	0	0	0	0	0	0	0	Family
522	0,7	0,4	0	0	0	0	0	Religion
523	0,65	0,6	0	0	0	0	0	Unidentified
524	0,6	0,3	0	0	0	0	0	Unidentified
525	0	0	0	0	0	0	0	Unidentified
526	0	0	0	0	0	0	0	Family
527	0	0	0	0	0	0	0	Unidentified
528	0	0	0	0	0	0	0	Religion
529	0,7	1	0	0	0	0	0	Religion
530	0,55	0,4	0	0	0	0	0	Unidentified
531	0,4	0,2	0	0	0	0	0	Unidentified
532	0	0	0	0	0	0	0	Unidentified
533	0	0	0	0	0	0	0	Unidentified
534	0	0	0	0	0	0	0	Unidentified
535	0,7	0,5	0	0	0	0	0	Religion
536	0,7	1	0	0	0	0	0	Religion
537	0,4	0,4	0	0	0	0	0	Unidentified
538	0	0	0	0	0	0	0	Unidentified
539	0	0	0	0	0	0	0	Unidentified
540	0	0	0	0	0	0	0	Unidentified
541	0	0	0	0	0	0	0	Unidentified
542	0	0,35	0	0	0	0	0	Unidentified
543	0	0,7	0	0	0	0	0	Unidentified
544	0	0	0	0	0	0	0	Unidentified
545	0	0	0	0	0	0	0	Unidentified
546	0	0	0	0	0	0	0	Unidentified
547	0	0	0	0	0	0	0	Unidentified
548	0	0	0	0	0	0	0	Unidentified
549	0	0,35	0	0	0	0	0	Unidentified
550	0	0,35	0	0	0	0	0	Unidentified
551	0	0	0	0	0	0	0	Unidentified
552	0	0	0	0	0	0	0	Unidentified
553	0	0	0	0	0	0	0	Unidentified
554	0	0	0	0	0	0	0	Unidentified
555	0	0	0	0	0	0	0	Unidentified
556	0	0	0	0	0	0	0	Unidentified
557	0	0,35	0	0	0	0	0	Unidentified
558	0	0,15	0	0	0	0	0	Unidentified
559	0,4	0,15	0	0	0	0	0	Unidentified
560	0	0	0	0	0	0	0	Unidentified
561	0	0	0	0	0	0	0	Unidentified
562	0	0	0	0	0	0	0	Unidentified
563	0	0	0	0	0	0	0	Unidentified
564	0	0,35	0	0	0	0	0	Unidentified
565	0,4	0,3	0	0	0	0	0	Unidentified
566	0,4	0,15	0	0	0	0	0	Unidentified
567	0	0	0	0	0	0	0	Unidentified
568	0	0	0	0	0	0	0	Unidentified
569	0	0	0	0	0	0	0	Unidentified
570	0	0	0	0	0	0	0	Unidentified
571	0	0,7	0	0	0	0	0	Unidentified
572	0,4	0,3	0	0	0	0	0	Unidentified
573	0,4	0,15	0	0	0	0	0	Unidentified
574	0	0	0	0	0	0	0	Unidentified
575	0	0	0	0	0	0	0	Unidentified
576	0	0	0	0	0	0	0	Unidentified
577	-0,5	0	0	0,25	0	0	0	Unidentified
578	0	0	0	0	0	0	0	Unidentified
579	-0,5	0	0	0	0	0	0	Unidentified
580	0	0	0	0	0	0	0	Unidentified
581	0	0	0	0	0	0	0	Unidentified
582	0	0	0	0	0	0	0	Unidentified
583	0	0	0	0	0	0	0	Unidentified
584	-0,5	0	0	0,25	0	0	0	Unidentified
585	0	0	0	0	0	0	0	Unidentified
586	0	0	0	0	0	0	0	Unidentified
587	0	0	0	0	0	0	0	Unidentified
588	0	0	0	0	0	0	0	Unidentified
589	0	0	0	0	0	0	0	Unidentified
590	0	0	0	0	0	0	0	Unidentified
591	-0,5	0	0	0,25	0	0	0	Unidentified
592	-0,5	0	0	0,25	0	0	0	Unidentified
593	0	0	0	0	0	0	0	Unidentified
594	0	0	0	0	0	0	0	Unidentified
595	0	0	0	0	0	0	0	Unidentified
596	0	0	0	0	0	0	0	Unidentified
597	0	0	0	0	0	0	0	Unidentified
598	0	0	0	0	0	0	0	Unidentified
599	0	0	0	0	0	0	0	Unidentified
600	0	0	0	0	0	0	0	Unidentified
601	0	0	0	0	0	0	0	Unidentified
602	0	0	0	0	0	0	0	Unidentified
